urdu,roman_urdu
لائکس کی فکر مت کرو، کانٹینٹ اچھا ہو گا تو اپنے آپ آئیں گے,"likes ki fikr mat karo, content accha hoga to apne aap aayenge"
صرف لائکس کے لیے کچھ بھی پوسٹ مت کرو، کوالٹی میٹر کرتی ہے,"sirf likes ke liye kuch bhi post mat karo, quality matter karti hai"
اُس نے میری ساری پرانی پوسٹس پہ لائک کِیا، تھوڑا اوکورڈ تھا,"usne meri saari old posts pe like kiya, thoda awkward tha"
کمنٹ مت کرو اگر کچھ کنسٹرکٹیو نہیں کہنا، صرف آرگومنٹ ہو گا,"comment mat karo agar kuch constructive nahi kehna, sirf argument hoga"
اُس نے میری فوٹو پہ اچھا کمنٹ کِیا، دل خوش ہو گیا,"usne meri photo pe acha comment kiya, dil khush ho gaya"
کمنٹ سیکشن میں لوگ پاگلوں جیسی باتیں کرتے ہیں، اگنور کرو,"comment section mein log pagalon jaisi baatein karte hain, ignore karo"
اگر کوئی برا کمنٹ کرے تو رپورٹ کرو، ڈیلیٹ ہو جائے گا,"agar koi bura comment kare to report karo, delete ho jaayega"
اِس پوسٹ پہ 200 کمنٹس آ گئے ایک ہی رات میں، وائرل ہو گئی یار,"is post pe 200 comments aa gaye ek hi raat mein, viral ho gayi yaar"
نوٹیفکیشنز آف کر دو کچھ ٹائم کے لیے، کام میں دھیان نہیں لگتا,"notifications off kar do kuch time ke liye, kaam mein dhyan nahi lagta"
بہت ساری نوٹیفکیشنز آ رہی ہیں، کچھ ایپس کی پرمیشن ریسٹرکٹ کرو,"bahut saari notifications aa rahi hain, kuch apps ki permission restrict karo"
اگر اہم نوٹیفکیشن مس نہ ہو تو وائبریشن آن رکھو,agar important notification miss na ho to vibration on rakho
رات کو نوٹیفکیشن ساؤنڈ بند کرو ورنہ نیند خراب ہوتی ہے,raat ko notification sound band karo warna neend kharab hoti hai
اُس نے نوٹیفکیشن دیکھی لیکن ریپلائی نہیں کِیا، کچھ دِن ہوا ہے یار,"usne notification dekhi lekin reply nahi kiya, kuch din hua hai yaar"
سیٹنگز میں جاؤ اور پرائیویسی آپشنز چیک کرو، کافی یوزفل ہیں,"settings mein jaao aur privacy options check karo, kafi useful hain"
فانٹ سائز سیٹنگز سے بڑھا سکتے ہو اگر ٹیکسٹ چھوٹا لگتا ہے,font size settings se badha sakte ho agar text chota lagta hai
ڈیویلپر سیٹنگز آن کرو، وہ ہڈن ہوتی ہیں نارملی,"developer settings on karo, woh hidden hoti hain normally"
ڈارک موڈ سیٹنگز میں ہوتا ہے، وہاں سے آن کرو رات کے لیے,"dark mode settings mein hota hai, wahan se on karo raat ke liye"
بیک اپ سیٹنگز چیک کرو، آٹومیٹک آن ہے کہ نہیں,"backup settings check karo, automatic on hai ke nahi"
کیمرہ کی کوالٹی اتنی اچھی ہے اِس فون میں، DSLR جیسا فیل آتا ہے,"camera ki quality itni aachi hai is phone mein, DSLR jaisa feel aata hai"
کیمرہ پرمیشنز دے دو ایپ کو ورنہ QR اسکین نہیں ہو گا,camera permissions de do app ko warna QR scan nahi hoga
کیمرہ بند ہو گئی اچانک، ری اسٹارٹ کرو فون ورنہ ایپ کلیر کرو,"camera band ho gayi achanak, restart karo phone warna app clear karo"
فرنٹ کیمرہ کی سیلفی کوالٹی اچھی ہے لیکن بیک کیمرہ زیادہ بیٹر ہے,front camera ki selfie quality achchi hai lekin back camera zyada better hai
سرویلینس کیمرہ لگوانی ہے گھر پہ، کافی افورڈیبل ہیں آج کل,"surveillance camera lagwani hai ghar pe, kaafi affordable hain aaj kal"
میں نے اُسے میسج کِیا,maine usse message kiya
اُس نے مجھے میسج نہیں کِیا,usne mujhe message nahi kiya
کل رات کا میسج ابھی تک نہیں دیکھا,kal raat ka message abhi tak nahi dekha
کیا تمہارا میسج ملا اُسے,kya tumhara message mila use
میسج کر دو جب پہنچ جاؤ,message kar do jab pohonch jao
گروپ میں میسج مت کرو یہ بات,group mein message mat karo yeh baat
میسج آیا تھا تیرا صبح,msg aaya tha tera subah
اُس نے میسج کِیا لیکن مَیں سو رہا تھا,usne messsage kiya lekin main so raha tha
میسج کر لو ابھی ورنہ لیٹ ہو جاؤ گے,message kar lo abhi warna late ho jaoge
میسج دیکھا نہیں ابھی تک کسی نے,message dekha nahi abhi tak kisi ne
وہ روز ایکسرسائز کرتا ہے صبح,woh roz exercise karta hai subah
ڈاکٹر نے ایکسرسائز کرنے کو کہا ہے,doctor ne exercise karne ko kaha hai
ایکسرسائز کے بعد بہت بھوک لگتی ہے,exercise ke baad bahut bhook lagti hai
میں جم میں ایکسرسائز کرتا ہوں,main gym mein exercize karta hun
ایکسرسائز چھوڑ دی اُس نے لیزی ہو گیا ہے,exrcise chhod di usne lazy ho gaya hai
آج ایکسرسائز نہیں ہوئی وقت نہیں ملا,aaj exercise nahi hui waqt nahi mila
ایکسرسائز کرو صحت ٹھیک رہے گی,exercise karo sehat theek rahegi
کل سے ایکسرسائز شروع کر رہا ہوں,kal se exercise shuru kar raha hun
بنا ایکسرسائز کے نیند نہیں آتی مجھے,bina exercise ke neend nahi aati mujhe
ایکسرسائز کی روٹین بنانا مشکل ہے,exercise ki routine banana mushkil hai
کل میرا ایگزام ہے,kal mera exam hai
ایگزام میں بہت مشکل سوال آئے,exam mein bahut mushkil sawal aaye
ایگزام کی تیاری کر رہا ہوں,exam ki tayyari kar raha hun
آج کا ایگزام اچھا گیا,aaj ka exam acha gaya
ایگزام میں فیل ہو گیا وہ,exaam mein fail ho gaya woh
ایگزام سے پہلے رات بھر پڑھنا ہوگا,exam se pehle raat bhar parhna hoga
کب ہے تیرا ایگزام بتاؤ,kab hai tera exam batao
ایگزام کینسل ہو گیا آج,exzam cancel ho gaya aaj
ایگزام کا رزلٹ کب آئے گا,exam ka result kab aayega
دو دِن میں ایگزام ہے ٹینشن ہو رہی ہے,do din mein exam hai tension ho rahi hai
وہ میتھ میں فیل ہو گیا,woh math mein fail ho gaya
مَیں فیل نہیں ہونا چاہتا,main fail nahi hona chahta
پہلی بار فیل ہوا ہے اِس لیے اداس ہے,pehli baar fail hua hai isliye udaas hai
فیل ہو بھی جاؤ تو پرابلم نہیں,fail ho bhi jaao to problem nahi
اُس نے سوچا تھا فیل نہیں ہوگا لیکن ہو گیا,usne socha tha fail nahi hoga lekin ho gaya
اگر فیل ہوا تو گھر والے ماریں گے,agar fael hua to ghar wale marengy
فیل ہونے سے زندگی نہیں رکتی,fail hone se zindagi nahi rukti
فیل نہیں ہونا چاہیے تھا اُسے,fail nahi hona chahiye tha usse
دو بار فیل ہوا اب پاس کر گیا,do baar fail hua ab pass kar gaya
فیل ہوگا نہیں پڑھ لو تھوڑا,fail hoga nahi padh lo thoda
اُس نے سب فوٹوز ڈیلیٹ کر دیے,usne sab photos delete kar diye
غلطی سے میسج ڈیلیٹ ہو گیا,galti se message delete ho gaya
یہ فائل ڈیلیٹ مت کرنا,yeh file delete mat karna
اکاؤنٹ ڈیلیٹ کرنا چاہتا ہوں,account delete karna chahta hun
ڈیلیٹ کرو یہ سب کچھ کام کا نہیں,delete karo yeh sab kuch kaam ka nahi
اُس نے چیٹ ہسٹری ڈیلیٹ کر دی,usne chat history delete kar di
ڈیلیٹ ہو گیا ڈیٹا واپس نہیں آئے گا,delet ho gaya data wapas nahi aayega
پرمننٹ ڈیلیٹ کرنے سے پہلے سوچ لو,permanent delete karne se pehle soch lo
نمبر ڈیلیٹ کر دیا اُس نے فون سے,number delete kar diya usne phone se
ایپ ڈیلیٹ کر دی کام نہیں کر رہی تھی,app delete kar di kaam nahi kar rahi thi
بیک اپ لینا ضروری ہے ڈیٹا کا,backup lena zaroori hai data ka
بیک اپ نہیں تھا اِس لیے سب چلا گیا,backup nahi tha isliye sab chala gaya
فون کا بیک اپ لے لو پہلے,phone ka backup le lo pehle
بیک اپ کہاں سیو کِیا تو نے,baackup kahan save kiya tune
ہر روز بیک اپ لینا چاہیے,har roz backup lena chahiye
بیک اپ فائلز کلاؤڈ میں ہیں میری,backup files cloud mein hain meri
بنا بیک اپ کے فارمیٹ مت کرنا,bina backup ke format mat karna
بیک اپ لیا تھا نا تو نے,backup liya tha na tune
وائی فائی نہیں چل رہا گھر میں,wifi nahi chal raha ghar mein
وائی فائی کا پاس ورڈ کیا ہے,wifi ka password kya hai
وائی فائی سے کنیکٹ نہیں ہو رہا فون,wifi se connect nahi ho raha phone
وائی فائی سلو ہے آج,wifee slow hai aaj
وائی فائی روٹر ری اسٹارٹ کرو,wifi router restart karo
بنا وائی فائی کے کام نہیں چلتا,bina wifi ke kaam nahi chalta
وائی فائی بند ہو گیا رات کو,wifi band ho gaya raat ko
وائی فائی آن کرو میٹنگ ہے ابھی,wifi on karo meeting hai abhi
تیرا وائی فائی کا سگنل کمزور ہے,tera wifi ka signal kamzor hai
وائی فائی نہیں تو ڈیٹا یوز کرو,wifi nahi toh data use karo
اُس کا لیپ ٹاپ کریش ہو گیا,uska laptop crash ho gaya
لیپ ٹاپ چارج نہیں ہو رہا,laptop charge nahi ho raha
میرا لیپ ٹاپ بہت سلو ہے,mera lapptopp bahut slow hai
لیپ ٹاپ لے آؤ بیٹھ کے کام کرتے ہیں,laptop la ao baith ke kaam karte hain
لیپ ٹاپ کی بیٹری ختم ہو گئی,laptop ki battery khatam ho gayi
نیا لیپ ٹاپ لینا ہے مجھے,naya laptop lena hai mujhe
لیپ ٹاپ گر گیا اسکرین ٹوٹ گئی,laaptop gir gaya screen toot gayi
لیپ ٹاپ میں وائرس آ گیا,laptop mein virus aa gaya
کسی نے میرا لیپ ٹاپ یوز کِیا,kisi ne mera laptop use kiya
لیپ ٹاپ بند نہیں ہو رہا ہینگ ہو گیا,laptop band nahi ho raha hang ho gaya
ایپ اپڈیٹ کر لو,app update kar lo
یہ ایپ کام نہیں کر رہی,yeh app kaam nahi kar rahi
کونسی ایپ یوز کرتے ہو تم,konsi app use karte ho tum
ایپ ڈیلیٹ کر دی میں نے,aap delete kar di maine
نئی ایپ انسٹال کی ہے بہت اچھی ہے,nai app install ki hai bahut acha hai
ایپ کریش ہو رہی ہے بار بار,app crash ho rahi hai baar baar
ایپ اسٹور سے ڈاؤن لوڈ کرو,appp store se download karo
ایپ میں لاگ ان نہیں ہو رہا,app mein login nahi ho raha
یہ ایپ فری ہے یا پیڈ,yeh app free hai ya paid
ایپ کی ریٹنگ بہت خراب ہے,app ki rating bahut kharab hai
فون اپڈیٹ کرو ابھی,phone update karo abhi
اپڈیٹ کے بعد سب ٹھیک ہو جائے گا,update ke baad sab theek ho jayega
نیا اپڈیٹ آیا ہے انسٹال کرو,naya updaate aaya hai install karo
اپڈیٹ ہو رہا ہے ویٹ کرو,update ho raha hai wait karo
اپڈیٹ کرنے کے بعد فون سلو ہو گیا,update karne ke baad phone slow ho gaya
آٹومیٹک اپڈیٹ بند کر دو,automatic update band kar do
ایپ اپڈیٹ نہیں ہو رہی اسٹوریج نہیں ہے,app update nahi ho rahi storage nahi hai
سسٹم اپڈیٹ چل رہا ہے ابھی,system update chal raha hai abhi
اسکرین شاٹ لے لو اِس کا,screenshot le lo iska
میں نے اسکرین شاٹ بھیجا تھا نا,maine screenshot bheja tha na
اسکرین شاٹ کیسے لیا تو نے,screenshoott kaisa liya tune
اسکرین شاٹ سینڈ کرو مجھے بھی,screenshot send karo mujhe bhi
یہ ایرر کا اسکرین شاٹ لے لو,yeh error ka screenshot le lo
اسکرین شاٹ سے پروف نہیں ہوتا,screen shot se proof nahi hota
فون میں اسکرین شاٹ کیسے لیتے ہیں,phone mein screenshot kaise lete hain
اسکرین شاٹ بلر آ رہا ہے,screenshott blur aa raha hai
میں نے اُسے ای میل کر دیا,maine usse email kar diya
ای میل آیا ہے چیک کرو,email aaya hai check karo
ای میل ایڈریس کیا ہے تیرا,email address kya hai tera
ای میل اسپیم میں چلی گئی,emmail spam mein chali gayi
ریپلائی کرو ای میل کا جلدی,reply karo email ka jaldi
آفس ای میل پر بھیجو یہ ڈاکیومنٹ,office email par bhejo yeh document
ای میل نہیں ملی ابھی تک,e-mail nahi mili abhi tak
ای میل کا سبجیکٹ کیا لکھوں,email ka subject kya likhun
ای میل میں اٹیچمنٹ نہیں تھا,email mein attachment nahi tha
رانگ ای میل پے چلی گئی,wrong email pe chali gayi
مجھے کل انٹرویو دینا ہے,mujhe kal interview dena hai
انٹرویو اچھا گیا تھا میرا,interview acha gaya tha mera
انٹرویو کی تیاری کر رہا ہوں,interview ki tayyari kar raha hun
انٹرویو میں کیا پوچھا اُنہوں نے,intrvieew mein kya puchha unho ne
انٹرویو سلیکٹ ہو گیا کیا,interview select ho gaya kya
آن لائن انٹرویو ہے یا اِن پرسن,online interview hai ya in person
انٹرویو کے لیے سوٹ پہن لو,interview ke liye suit pehan lo
انٹرویو کینسل ہو گیا ان کا,intarview cancel ho gaya unka
پہلا انٹرویو تھا بہت نروس تھا,pehla interview tha bahut nervous tha
انٹرویو رزلٹ کب آئے گا,interview result kab aayega
وہ جم جوائن کرنا چاہتا ہے,woh gym join karna chahta hai
جم چھوڑ دی اُس نے سست ہو گیا,gym chhod di usne sust ho gaya
جم میں آج نہیں گیا,gym mein aaj nahi gaya
جم کی ممبرشپ کتنے کی ہے,gim ka membership kitne ka hai
جم کے بعد بہت تھک جاتا ہوں,gym ke baad bahut thak jaata hun
نیا جم کھلا ہے گھر کے پاس,naya gym khula hai ghar ke paas
جم میں ٹرینر ہے اچھا,gym mein trainer hai acha
جم ٹائم کیا ہے تیرا,jim time kya hai tera
